iter	Passed	Remaining
0	57	57060
1	57	28669
2	57	19197
3	58	14461
4	58	11629
5	58	9749
6	59	8399
7	59	7386
8	59	6593
9	60	5959
10	60	5439
11	60	5005
12	61	4638
13	61	4324
14	61	4050
15	61	3811
16	62	3602
17	62	3418
18	62	3251
19	63	3100
20	63	2963
21	63	2838
22	64	2725
23	64	2621
24	64	2526
25	65	2437
26	65	2354
27	65	2277
28	65	2206
29	66	2140
30	66	2078
31	66	2019
32	67	1965
33	67	1914
34	67	1866
35	67	1819
36	68	1776
37	68	1735
38	68	1696
39	69	1659
40	69	1624
41	69	1590
42	70	1558
43	70	1527
44	70	1498
45	70	1470
46	71	1443
47	71	1418
48	71	1393
49	72	1370
50	72	1347
51	72	1325
52	72	1304
53	73	1283
54	73	1264
55	73	1245
56	74	1226
57	74	1209
58	74	1192
59	75	1175
60	75	1159
61	75	1144
62	75	1129
63	76	1114
64	76	1100
65	76	1086
66	77	1073
67	77	1058
68	77	1045
69	77	1034
70	78	1022
71	78	1010
72	78	999
73	78	988
74	79	978
75	79	967
76	79	958
77	80	948
78	80	938
79	80	929
80	81	920
81	81	911
82	81	902
83	82	894
84	82	884
85	82	876
86	82	866
87	82	858
88	83	851
89	83	843
90	83	836
91	84	829
92	84	823
93	84	817
94	85	810
95	85	804
96	85	797
97	85	791
98	86	785
99	86	779
100	86	773
101	86	765
102	87	759
103	87	754
104	87	748
105	88	743
106	88	738
107	88	733
108	89	729
109	89	724
110	89	719
111	90	714
112	90	709
113	90	704
114	90	699
115	91	694
116	91	689
117	91	685
118	91	680
119	92	676
120	92	673
121	93	669
122	93	664
123	93	660
124	93	656
125	94	652
126	94	648
127	94	643
128	94	639
129	95	636
130	95	632
131	95	629
132	95	625
133	96	621
134	96	618
135	96	614
136	97	611
137	97	607
138	97	604
139	97	600
140	98	597
141	98	594
142	98	591
143	98	588
144	99	585
145	99	582
146	99	579
147	100	576
148	100	573
149	100	570
150	100	567
151	101	564
152	101	562
153	101	559
154	102	556
155	102	554
156	102	551
157	103	549
158	103	546
159	103	544
160	103	541
161	104	539
162	104	536
163	104	534
164	105	531
165	105	529
166	105	526
167	105	524
168	106	522
169	106	519
170	106	517
171	107	515
172	107	512
173	107	510
174	107	508
175	108	506
176	108	504
177	108	502
178	109	500
179	109	498
180	109	495
181	109	493
182	109	491
183	110	489
184	110	487
185	110	485
186	111	483
187	111	481
188	111	479
189	111	477
190	112	475
191	112	473
192	112	471
193	113	469
194	113	468
195	113	466
196	113	464
197	114	462
198	114	460
199	114	459
200	115	457
201	115	455
202	115	453
203	115	452
204	116	450
205	116	448
206	116	447
207	117	445
208	117	444
209	117	442
210	117	440
211	118	439
212	118	437
213	118	436
214	119	434
215	119	433
216	119	431
217	119	430
218	120	428
219	120	427
220	120	425
221	121	424
222	121	422
223	121	421
224	121	419
225	122	418
226	122	416
227	122	415
228	122	414
229	123	412
230	123	411
231	123	409
232	124	408
233	124	407
234	124	405
235	124	404
236	125	403
237	125	401
238	125	400
239	126	399
240	126	398
241	126	396
242	127	395
243	127	394
244	127	393
245	128	392
246	128	391
247	128	390
248	129	389
249	129	388
250	129	386
251	129	385
252	130	384
253	130	383
254	130	381
255	131	380
256	131	379
257	131	378
258	131	377
259	132	376
260	132	375
261	132	374
262	133	372
263	133	371
264	133	370
265	133	369
266	134	368
267	134	367
268	134	366
269	135	365
270	135	364
271	135	363
272	135	362
273	136	361
274	136	359
275	136	358
276	137	357
277	137	356
278	137	355
279	138	354
280	138	353
281	138	352
282	138	351
283	139	350
284	139	349
285	139	348
286	140	348
287	140	347
288	140	346
289	141	345
290	141	344
291	141	343
292	142	342
293	142	341
294	142	341
295	143	340
296	143	339
297	143	338
298	144	337
299	144	336
300	144	335
301	144	334
302	145	334
303	145	333
304	145	332
305	146	331
306	146	330
307	146	329
308	146	328
309	147	327
310	147	326
311	147	325
312	148	325
313	148	324
314	148	323
315	148	322
316	149	321
317	149	320
318	149	319
319	150	318
320	150	318
321	150	317
322	150	316
323	151	315
324	151	314
325	151	313
326	152	313
327	152	312
328	152	311
329	152	310
330	153	309
331	153	308
332	153	308
333	154	307
334	154	306
335	154	305
336	155	305
337	155	304
338	155	303
339	155	302
340	156	301
341	156	301
342	156	300
343	157	299
344	157	298
345	157	297
346	157	297
347	158	296
348	158	295
349	158	294
350	159	294
351	159	293
352	159	292
353	159	291
354	160	291
355	160	290
356	160	289
357	161	288
358	161	288
359	161	287
360	162	287
361	162	286
362	162	285
363	163	284
364	163	284
365	163	283
366	163	282
367	164	281
368	164	281
369	164	280
370	164	279
371	165	279
372	166	279
373	166	278
374	166	277
375	166	277
376	167	276
377	167	275
378	167	274
379	168	274
380	168	273
381	168	272
382	168	272
383	169	271
384	169	270
385	169	270
386	170	269
387	170	268
388	170	267
389	170	267
390	171	266
391	171	265
392	171	265
393	171	264
394	172	263
395	172	262
396	172	262
397	172	261
398	173	260
399	173	260
400	173	259
401	173	258
402	174	258
403	174	257
404	174	256
405	175	256
406	175	255
407	175	254
408	175	254
409	176	253
410	176	252
411	176	252
412	176	251
413	177	250
414	177	250
415	177	249
416	178	248
417	178	248
418	178	247
419	178	247
420	179	246
421	179	245
422	179	245
423	180	244
424	180	243
425	180	243
426	180	242
427	181	242
428	181	241
429	181	240
430	181	240
431	182	239
432	182	238
433	182	238
434	182	237
435	183	237
436	183	236
437	183	235
438	184	235
439	184	234
440	184	234
441	184	233
442	185	232
443	185	232
444	185	231
445	186	231
446	186	230
447	186	230
448	186	229
449	187	228
450	187	228
451	187	227
452	188	227
453	188	226
454	188	225
455	188	225
456	189	224
457	189	224
458	189	223
459	190	223
460	190	222
461	190	221
462	190	221
463	191	220
464	191	220
465	191	219
466	191	218
467	192	218
468	192	217
469	192	217
470	192	216
471	193	216
472	193	215
473	193	214
474	193	214
475	194	213
476	194	213
477	194	212
478	195	212
479	195	211
480	195	211
481	195	210
482	196	209
483	196	209
484	196	208
485	196	208
486	197	207
487	197	207
488	197	206
489	198	206
490	198	205
491	198	205
492	198	204
493	199	203
494	199	203
495	199	202
496	199	202
497	200	201
498	200	201
499	200	200
500	201	200
501	201	199
502	201	199
503	201	198
504	202	198
505	202	197
506	202	197
507	203	196
508	203	196
509	203	195
510	203	195
511	204	194
512	204	194
513	204	193
514	204	192
515	205	192
516	205	191
517	205	191
518	205	190
519	206	190
520	206	189
521	206	189
522	207	188
523	207	188
524	207	187
525	207	187
526	208	186
527	208	186
528	208	185
529	208	185
530	209	184
531	209	184
532	209	183
533	209	183
534	210	182
535	210	182
536	210	181
537	211	181
538	211	180
539	211	180
540	211	179
541	212	179
542	212	178
543	212	178
544	212	177
545	213	177
546	213	176
547	213	176
548	213	175
549	214	175
550	214	174
551	214	174
552	215	173
553	215	173
554	215	172
555	215	172
556	216	172
557	217	171
558	217	171
559	217	170
560	217	170
561	218	169
562	218	169
563	218	169
564	219	168
565	219	168
566	219	167
567	219	167
568	220	166
