iter	Passed	Remaining
0	1	1093
1	1	714
2	1	583
3	2	564
4	2	510
5	2	471
6	3	446
7	3	428
8	3	411
9	4	401
10	4	392
11	4	393
12	5	384
13	5	375
14	5	369
15	6	369
16	6	376
17	6	371
18	7	367
19	7	362
20	7	359
21	8	357
22	8	354
23	8	352
24	9	351
25	9	349
26	9	346
27	9	343
28	10	344
29	10	342
30	10	339
31	11	340
32	11	341
33	11	340
34	12	341
35	12	340
36	13	339
37	13	339
38	13	337
39	14	336
40	14	334
41	14	332
42	14	331
43	15	329
44	15	333
45	16	332
46	16	330
47	16	328
48	16	326
49	17	326
50	17	324
51	17	323
52	17	321
53	18	319
54	18	318
55	18	317
56	19	316
57	19	315
58	19	314
59	20	315
60	20	314
61	20	314
62	21	313
63	21	312
64	21	311
65	21	310
66	22	309
67	22	308
68	22	307
69	23	306
70	23	305
71	23	304
72	23	304
73	24	303
74	24	301
75	24	301
76	25	300
77	25	299
78	25	298
79	25	298
80	26	297
81	26	296
82	26	294
83	26	293
84	27	292
85	27	292
86	27	291
87	28	290
88	28	289
89	28	289
90	28	288
91	29	287
92	29	287
93	29	287
94	30	286
95	30	285
96	30	285
97	31	286
98	31	285
99	31	285
100	32	285
101	32	284
102	32	283
103	32	282
104	33	284
105	33	283
106	33	283
107	34	282
108	34	282
109	34	281
110	35	281
111	35	281
112	35	281
113	36	280
114	36	279
115	36	279
116	36	278
117	37	277
118	37	277
119	37	277
120	38	277
121	38	276
122	38	277
123	39	276
124	39	275
125	39	275
126	39	274
127	40	273
128	40	273
129	40	272
130	41	272
131	41	271
132	41	271
133	41	270
134	42	270
135	42	269
136	42	269
137	42	268
138	43	268
139	43	267
140	43	267
141	44	265
142	44	265
143	44	265
144	44	265
145	45	264
146	45	264
147	45	264
148	46	263
149	46	263
150	46	263
151	47	263
152	47	262
153	47	261
154	47	261
155	48	261
156	48	260
157	48	260
158	49	259
159	49	259
160	49	258
161	49	257
162	50	257
163	50	256
164	50	257
165	51	258
166	51	257
167	51	257
168	52	256
169	52	256
170	52	256
171	53	256
172	53	256
173	53	256
174	54	255
175	54	255
176	54	254
177	55	254
178	55	253
179	55	253
180	55	253
181	56	252
182	56	252
183	56	251
184	57	251
185	57	250
186	57	250
187	57	249
188	58	249
189	58	249
190	58	248
191	59	248
192	59	248
193	59	247
